"TYPE","NAME","TAGS: tags","TAGS: system_tags","STATUS","USER","STARTED","UPDATED","ITERATION","PARENT TASK: parent.name","PARENT TASK: parent.project.id","PARENT TASK: parent.project.name"
"training","data_segmentation - x - train5 - dgx","data_segmentation,x,yolov8","development","completed","Anonymous","2024-07-08T19:13:42.322000+00:00","2024-07-08T22:02:23.642000+00:00",301,"","",""
"training","data_segmentation - l - train4 - dgx","data_segmentation,l,yolov8","development","completed","Anonymous","2024-07-08T18:49:55.950000+00:00","2024-07-08T20:06:52.025000+00:00",158,"","",""
"training","data_segmentation - m - train3 - dgx","data_segmentation,m,yolov8","development","completed","Anonymous","2024-07-08T16:31:37.684000+00:00","2024-07-08T18:02:44.347000+00:00",208,"","",""
"training","data_segmentation - s - train2 - dgx","data_segmentation,s,yolov8","development","completed","Anonymous","2024-07-08T14:27:23.215000+00:00","2024-07-08T15:33:28.428000+00:00",170,"","",""
"training","data_segmentation - n - train - dgx","data_segmentation,n,yolov8","development","completed","Anonymous","2024-07-08T12:56:36.881000+00:00","2024-07-08T14:11:08.705000+00:00",205,"","",""
