"TYPE","NAME","TAGS: tags","TAGS: system_tags","STATUS","USER","STARTED","UPDATED","ITERATION","PARENT TASK: parent.name","PARENT TASK: parent.project.id","PARENT TASK: parent.project.name"
"training","dataset_split_cls - x - train5 - dgx","dataset_split_cls,x,yolov8","development","completed","Flavia Monti","2024-07-11T05:35:20.451000+00:00","2024-07-12T01:08:39.605000+00:00",33,"","",""
"training","dataset_split_cls - l - train4 - dgx","dataset_split_cls,l,yolov8","development","completed","Flavia Monti","2024-07-10T21:40:25.836000+00:00","2024-07-11T14:52:33.133000+00:00",34,"","",""
"training","dataset_split_cls - m - train3 - dgx","dataset_split_cls,m,yolov8","development","completed","Flavia Monti","2024-07-10T09:40:00.121000+00:00","2024-07-10T23:18:06.851000+00:00",34,"","",""
"training","dataset_split_cls - n - train - dgx","dataset_split_cls,n,yolov8","development","completed","Flavia Monti","2024-07-10T09:28:39.654000+00:00","2024-07-10T22:38:11.192000+00:00",33,"","",""
"training","dataset_split_cls - s - train2 - dgx","dataset_split_cls,s,yolov8","development","completed","Flavia Monti","2024-07-10T09:39:19.669000+00:00","2024-07-10T20:43:40.590000+00:00",34,"","",""
